Khublei!,Thank you!
Katno baje wai skul?,When is school over?
U ieng hangto shiphang,He stood there for a while
Ka bneng ka shai,The sky brightened
Nga don u paralok,I have a friend
Nga don ka paralok,I have a friend
Nga don i paralok,I have a friend
Jingshong jongnga ka pang,My butt hurts
Ngan kynjat jingshong jongphi,I'll kick your butt!
Phi ia dih sha,You drink tea
Me ia dih sha,You drink tea
Pha ia dih sha,You drink tea
Pule kane ka kot,Read this book
Phi thied eiei ianga?,Did you buy me anything?
Ki dei ki nongjapan?,Are they Japanese?
Peit shadien jong phi,Look behind you
Peit shadien jong me,Look behind you
Peit shadien jong pha,Look behind you
Peit hadien jong phi,Look behind you
Peit hadien jong me,Look behind you
Peit hadien jong pha,Look behind you
Tom hadien jong me!,Tom behind you!
Tom hadien jong phi!,Tom behind you!
Tom shadien jong me!,Tom behind you!
Tom shadien jong phi!,Tom behind you!
Tom nadien jong phi!,Tom behind you!
Tom nadien jong me!,Tom behind you!
U don phra snem,He is eight
U mih phra baje,He leaves at eight
Kiei kito ki nombar?,What are those numbers?
Khot kumno ia kito?,What are those called?
Khot aiu ia kito?,What are those called?
Ngam pat don khun,I don't have any children yet
Haei phi don mynta?,Where are you now?
Phi don por lashai?,Do you have time tomorrow?
Ngi leit sha iew,We are going to the market
Nga donkam ia kane,I need this
Nga nang ban jngi,I know how to swim
Ka donkam ban sait,It needs washing
Ngam nang ban jngi,I don't know how to swim
U Jisu u iam,Jesus wept
Kaei ka kyrteng jongphi?,What is your name?
Nga dang bam ja,I am eating rice
Kine ki khulom jongno?,Whose are these pens?
Jongno kine ki khulom?,Whose are these pens?
Namar ka don hangto,Because it is there
Da peit ka lynti,Watch the road
Da peit ka surok,Watch the road
Nga dang shu khie,I just got up
Ka pyndom ia u,She teased him
Ka pynshrai ia u,She teased him
Nga khlem tip balei,I didn't know why
Mano ba lah thngan?,Who's hungry?
Ka bha bha kane,This is very good
Ka best bha kane,This is very good
Phi sngewtynnad ka film?,Do you like the movie?
Phin nym doh ianga?,Aren't you going to give me a kiss?
Phi lah bieij ne?,Are you crazy?
Me lah bieij ne?,Are you crazy?
Pha lah bieij ne?,Are you crazy?
Nga dang pule Japanese,I am learning Japanese
Ka wah ka tuid,A river flows
Peit ha ka dur,Look at the picture
Ngi sah ha pyrthei,We live on Earth
Nga lah thngan palat,I'm so hungry!
Ka siat iaka helicopter,She shot down a helicopter
U ban iaka khyllung,He is lying on the baby
Nga biang ia mynta,I'm OK for now
Ka dang ring mynsiem,It's still breathing
Ngin sa ia rem,We'll fail
Phim tip iaka system,You don't know the system
Ki khlur ki itynnad,Stars are beautiful
Ki khlur ki mih,The stars came out
U bnai u shai,The moon is shining
U bnai u phyrnai,The moon is shining
Ka khylliap iaka nep,She folded the quilt
Kumno ngin leh iakata?,How are we going to do that?
Ngin leh kumno iakata?,How are we going to do that?
Ka ieid ban shet,She loves to cook
Nga kwah iaphi Tom,I want you Tom
Nga kwah iame Tom,I want you Tom
Kumno ngan shu tip?,How should I know?
Ngan shu tip kumno?,How should I know?
Nga dei ka kristan,I'm a Christian
Ki la khot iaphi,They called you
Nga kynmaw ia kata,I remember that
Nga kynmaw ia kato,I remember that
Nga kynmaw ia katei,I remember that
Nga kynmaw ia katai,I remember that
Kum kynrad kum nongbud,Like master like disciple
Wat thok Iathuh hok,Don't tell a lie Be honest
Ngi la wan iing,We've come home
U lehkai beach volleyball,He plays beach volleyball
Kata kalong kaba sniewbok,That was unfortunate
Sngewbha mih na kamrashet,Please get out of the kitchen
Nga hap ai jingkren?,Do I have to make a speech?
Shaei de ngan leit?,Where else would I go?
Phet na iing jongnga,Get out of my house!
Phi dei ban sngapjar,You must keep quiet
Ngan shim ka jacket,I'll take the jacket
Nga kwah ban iashoh,I want to fight
Balei ngam sngewthuh phareng?,Why don't I understand English?
Balei ngam sngewthuh English?,Why don't I understand English?
Nga isih beit iaka,I've always hated her
Nga sngew sieh iaki,I feel bad for them
Phi nang ktien aiu?,What languages do you know?
U jrong bad khlaiñ,He is tall and strong
Phi khlem pynpait iaka,You didn't break it
Phim shym pynpait iaka,You didn't break it
Ngam pyrkhat kum maphi,I don't think like you
Ngam pyrkhat kum mame,I don't think like you
Ngam pyrkhat kum mapha,I don't think like you
Nga khlem iohsngew iaphi,I did not hear you
Ngam shym iohsngew iaphi,I did not hear you
Phim pat pyrshang hi,You haven't even tried
Jia aiu ia nga?,What is wrong with me?
Ka pynkyndit ia nga,It took me by surprise
Sa iakynduh ha ïng,I'll see you at home
Nga kwah jam sohplom,I'd like some plum jam
Ngi don aiu-aiu,We've got something
Balei kim don hangne?,Why aren't they here?
Map Nga wan slem,I'm sorry I came late
Baroh lah shah ktah,Everyone has been affected
Nga khlem vote iaphi,I didn't vote for you
Don tennis court hangne?,Is there a tennis court around here?
Balei phim sngewtynnad ianga?,Why don't you like me?
Ngin pyrshang ban iarap?,Should we try to help?
Une udei u jongnga,That is mine
U Tom u demkhohsiew,Tom was kneeling
Ki juti jongphi kine?,Are these your shoes?
Ki juti jongme kine?,Are these your shoes?
Ki juti jongpha kine?,Are these your shoes?
Mat ia dep shato!,Whatever!
Balei phi ia lyngngoh?,Why are you all shocked?
Kaei ka ban kylla?,What'll change?
Nga don kum ito,I've got one just like that
Nga don kum kato,I've got one just like that
Nga don kum uto,I've got one just like that
Ka khlem iaid bha,It didn't go well
Ka khlem long bha,It didn't go well
Ka dukan ka khang lashai,The store will be closed tomorrow
Shim da kawei ka shuki,Take the other chair!
Kane ka shuki ka isih,This chair is ugly
Kine ki shuki ki pher,These chairs are different
Kane ka shuki ka sting,This chair is light
ka bneng ka i dom,The sky looks angry
Phi iohi ia ka kper?,Do you see the garden?
Phi dei ban pyndonkam deo,You should use a deodorant
Ka jaka ka sboh bha,The land is very fertile
Ka khyndew ka sboh bha,The land is very fertile
Ka phong ka coat shñiuh,She was wearing a fur coat
Nga dang wad dukan khapsñiuh,I was looking for the barbershop
Ki masi ki ai dud,Cows give milk
Ki masi ki bam phlang,Cows eat grass
ki masi ki don reng,Cows have horns
U dngiem u dait ialade,The bear bites itself
Hangne sah uwei u dngiem,Here lives one bear
U lah don phra snem,He is eight
U mih por phra baje,He leaves at eight
Ka painkhana ka don shajrong,The toilet is upstairs
Ka painkhana ka don hajrong,The toilet is upstairs
Ka painkhana ka don shalor,The toilet is upstairs
Ka painkhana ka don halor,The toilet is upstairs
Kito kidei ki nombar aiu?,What are those numbers?
La khot kumno ia kito?,What are those called?
La khot aiu ia kito?,What are those called?
Hooid nga don por lashai,Yes I have time tomorrow
Ki khynnah ki donkam jingieid,Children need loving
U Jisu u jubab iaki,Jesus answered them
U Jisu u isih iaphi,Jesus hates you
U Jisu u ieid iaphi,Jesus loves you
Kane ka dei ka miaw,This is a cat
Kine ki dei ki khulom,These are pens
Ai sha nga u khulom,Pass me the pen
Ai ha nga u khulom,Pass me the pen
U Tom u i hok,Tom seems sincere
Ngam kwah ban pynthut iaphi,I don't want to disturb you
Ban ksem ka long khlemakor,Farting is rude
Phim lah ban lait nanga,You can't escape from me
Phim lah ban phet nanga,You can't escape from me
Mem lah ban lait nanga,You can't escape from me
Pham lah ban lait nanga,You can't escape from me
Ym donkam ban leh iakato,There is no necessity for you to do that
Ym donkam ban leh iakata,There is no necessity for you to do that
Nga iohi ia u lum,I saw the hill
U lum u jyrngam beit,The hill is always green
Ngi iaid shajrong u lum,I walked up the hill
Ka wah ka lah shlei,The river overflowed
Ngim ju kren phareng hangne,English is not spoken here
Ka pyrthei ka shad pyllun,The earth rotates
Nga ieid ia u Blei,I love God
Ka shit mynta ka sngi,It's hot today
U ban ia i khyllung,He is lying on the baby
U ban ia u khyllung,He is lying on the baby
Nga thikna phi bunkam bha,I'm sure you're very busy
Nga thikna pha bunkam bha,I'm sure you're very busy
Nga thikna me bunkam bha,I'm sure you're very busy
Don ki dewlynnong haka duriaw,There are islands in the sea
Nga don artylli ki miaw,I have two cats
Ngam kwah ban leit skul,I don't want to go to school
Phi lah don katno snem?,How old are you?
Nga lah kyrshan iaphi shilynter,I have supported you throughout
Nga don hangne ban sah,I'm here to stay
Phi lah ban iohsngew ianga?,Can you hear me?
U bnai u lah sep,The moon has set
Kane ka long kaba eh,This is difficult
Kane ka long kaba jynjar,This is difficult
Hynrei kidei lut ki briew,But they are all people
Nga khlem mut ban peitseh,I didn't mean to stare
Nga khlem kwah ban leh,I didn't want to do it
Ngan nym leit phai biang,I'm not going to go back
Me ioh ban peit iaka,Did you get a good look at her?
Ngam donkam shuh iaka loan,I no longer need a loan
U Tom u i sngewsih,Tom looks sad
Ka long ka bymlahlong ianga,That's impossible for me
Nga lah isih beit iaka,I've always hated her
Phin ia sngewbha sangeh iashoh,Will you guys please stop fighting?
U shong haka seat bashakhmat,He is sitting in the front seat
Phi dei uba heh tam,You're the biggest
Phi long uba heh tam,You're the biggest
Nga sngew kum ka rit,I feel like shit
Jia aiu mynta ha Poland?,What's happening now in Poland?
Phi don samla ba biang?,Do you have a steady boyfriend?
Nga lah pynjrong iaka shuti,I extended my holiday
Nga lah pynjlan iaka shuti,I extended my holiday
Ngam tharai kin iohsngew iangi,I don't think they're going to hear us
Phi lah poi sha Minnesota?,Have you ever been to Minnesota?
Phi lah sait ki kti?,Have you washed your hands yet?
U poi hangne dang mynta,He arrived here just now
U poi shane dang mynta,He arrived here just now
Kyrteng aiu kane ka wah?,What is the name of this river?
Ai katba pan u Tom,Give Tom everything he asks for
Phim sngewbha leit re shata?,Will you please go there?
Nga sngewthuh balei phi dom,I understand why you're angry
Ngi don aiu-re-aiu,We've got something
Ngi don kaei-re-kaei,We've got something
Ngi don uei-re-uei,We've got something
Ki juti nga ki brown,My shoes are brown
U Tom u kwah iaphi,Tom wants you
U Tom u kwah jubab,Tom wants answers
U kynthih ia ka thliew,He jumped over a ditch
Phim lah ban thied iakane,You can't afford this
Ngan nym iathuh iaki kata,I'm not going to tell them that
Ka jylliew kane ka nan?,Is this lake deep?
Nga khlem dih ka um,I didn't drink the water
Phi poi iohi iaka mynnin?,Did you happen to see her yesterday?
Shu iathuh ianga jia aiu,Just tell me what's going on
Kane ka dei ka jongnga,This belongs to me
Ngi kwah kaba bha iaphi,We want what's best for you
Ngan leit sha Australia lashembnai,I'm going to Australia the month after next
Khublei na ka bynta baroh,Thanks for everything
U Tom u dang demkhohsiew,Tom was kneeling
U lah pynhiar kyrdan iaphi,He demoted you
U lah pynhiar kyrdan iame,He demoted you
U lah pynhiar kyrdan iapha,He demoted you
Shano phi kwah ban leit?,Where would you like to go?
Shano me lwah ban leit?,Where would you like to go?
Shano pha kwah ban leit?,Where would you like to go?
Shaei phi kwah ban leit?,Where would you like to go?
Shaei pha kwah ban leit?,Where would you like to go?
Shaei me kwah ban leit?,Where would you like to go?
Kine kidei ki juti jongphi?,Are these your shoes?
Kine kidei ki juti jongme?,Are these your shoes?
Kine kidei ki juti jongpha?,Are these your shoes?
Don mano mano ba wan?,Did anybody come?
Ki leh kumba ki tieng,They pretended they were afraid
Phi leh aiu katto baje?,What were you doing at that time?
Me leh aiu katto baje?,What were you doing at that time?
Pha leh aiu katto baje?,What were you doing at that time?
Ngam ju dei kaei-kaei ruh,I can't get anything right
Nga sngewbha shibun ban don hangne,I'm very pleased to be here
Phi don eiei ban kylli ianga?,Is there something you want to ask me for?
Nga ieid ia katai ka shuki,I love that chair
Ngam khot iaphi da ka kyrteng,I'm not calling you by name
Ka long ka bymlahlong ban shna,It's impossible to fix
U Tom u shoh shwa ianga,Tom hit me first
Ka ksieh ia kawei ka miaw,She strangled a cat
Phi mut ba nga leh bakla?,Do you think I'm making a mistake?
Me mut ba nga leh bakla?,Do you think I'm making a mistake?
Pha mut ba nga leh bakla?,Do you think I'm making a mistake?
Ka thoh ianga ka shithi bajrong,She wrote me a long letter
Baroh ki han-blei ki lieh,All swans are white
Ki han-blei ki lieh lut,All swans are white
Ki lieh lut ki han-blei,All swans are white
Ki masi ki ai dud iangi,Cows give us milk
U don shiphew tylli ki masi,He has ten cows
Ka jingshisha ka pyni iaka jingisat,The truth bears hatred
Ka jingdom ka dei ka bor,Anger is an energy
U kofi u ai bor iaphi,Coffee gives you energy!
Ka khriat bha mynta ka sngi,It is very cold today
Kine ki khulom kidei jong u,These pens are his
Kumno ka long ka jingpule jongme?,How are your studies going?
Balei ia kane hap ban pyndep?,Why does this have to be done?
Phim dei tang maphi ba thngan?,You're not the only one who's hungry
Mem dei tang mame ba thngan,You're not the only one who's hungry
Ngam dei tang manga ba thngan,I'm not the only one who's hungry
Kumno la pyndonkam iakane ka kamera,How do you use this camera?
Ka ksem jong u ka sma,His fart smelled
Ban ksem ka long kaba khlemakor,Farting is rude
Phin ym lah ban lait nanga,You can't escape from me
Phin ym lah ban phet nanga,You can't escape from me
Phin nym lah ban lait nanga,You can't escape from me
Phin nym lah ban phet nanga,You can't escape from me
Men ym lah ban lait nanga,You can't escape from me
Men nym lah ban lait nanga,You can't escape from me
Men ym lah ban phet nanga,You can't escape from me
Men nym lah ban phet nanga,You can't escape from me
Phan ym lah ban lait nanga,You can't escape from me
Phan nym lah ban lait nanga,You can't escape from me
U Tom u kwah aiu tip,I wonder what Tom wants
Phim donkam ban leit skul lashai,You don't have to go to school tomorrow
Nga kwah klet noh shaphang kato,I just want to forget about it
Ngam kwah ban leit sha skul,I don't want to go to school
Ka khot sngewbha ianga ban bam,She invited me to eat
Don tang ki kot ha duli,There are only books on the shelf
Tom bad Mary ki don shabar,Tom and Mary are outside
Ki khlur ki long kiba itynnad,Stars are beautiful
Nga kwah iaphi ban doh ianga,I want you to kiss me
Ngi lah dei ban iapoi biang,We should be getting back
Baroh ki don eiei ban buhrieh,Everybody's got something to hide
Ngam kwah tip eiei shaphang kata,I don't want to know anything about that
Kiei ki ktien ba phi nang?,What languages do you know?
Nga iakynduh ia u ha jingkhawai,I met him at a party
Ka lah slem ban leh iakata,It's too late to try that
Ka lah dier ban leh iakata,It's too late to try that
U mih khlem khang ka jingkhang,He left without having shut the door
Phi lah ju poi sha Minnesota?,Have you ever been to Minnesota?
Balei phi donkam TV ba thymmai?,Why do you need a new television?
U dih sha man ka step,He has tea every morning
U don ha ka jingdonkam pisa,He is in need of money
Kane ka wah ka kyrteng aiu?,What is the name of this river?
Aiu ka kyrteng kane ka wah?,What is the name of this river?
U Tom u hap naki mawstep,Tom fell down the stairs
Ngam pat iohi iaka lah slem,I haven't seen her for a long time
Kumno ngan pyniapbieij ia u Tom?,How am I going to impress Tom?
Jied ia iba phi sngewtynnad tam,Pick the one you like best
Jied ia iba phi best tam,Pick the one you like best
U Tom un pynmynsaw ia phi,Tom is going to hurt you
U Tom un pynmynsaw ia pha,Tom is going to hurt you
U Tom un pynmong ia me,Tom is going to hurt you
U Tom un pynmong ia phi,Tom is going to hurt you
U Tom un pynmynsaw ia me,Tom is going to hurt you
U Tom un pynmong ia pha,Tom is going to hurt you
Ngan sa iakynduh iaphi ha ïng,I'll see you at home
Ngan sa iakynduh iame ha ïng,I'll see you at home
One I dei I tiket kot,This is a paper ticket
Ngi trei na bynta u Tom,We work for Tom
U Tom u sdang ban khih,Tom began to move
Phi tip katno ngi lah iohnong?,Do you know how much profit we made?
Nga lah leh katba nga leh,I gave it my best shot
Ngan leit sha office u Tom,I'm going to Tom's office
U Tom u jop iaka election,Tom won the election
Ngi bam lang man ka janmiet,We eat together every evening
Naduh mynno phi lah pule Latin?,Since when have you been learning Latin?
Ki kwah biang ia u Tom,They want Tom back
Phim kwah pynsangeh ia u Tom?,Don't you want to stop Tom?
Ka ïng jongnga ka khriat bha,My house is very cold
Ka phone u Tom ka pah,Tom's phone rang
Nga tip phi don maphi kato,I know you have it with you
U Tom u pynlait im ianga,Tom just saved my life
Nga sngewtynnad ki briew kiba pynsamrkhie,I like funny guys
Maka ruh ka tip ia kata,She knows that as well
Ngam bam re kane ka dohkha,I'm not eating this fish
U Sami um tieng iaka khlaw,Sami is not afraid of the jungle
Um i kumba u lah thait,He doesn't look like he's tired
Ka ong ba ka la kdang,She said that she was full
Nga park ia ka kali hangtei,My car is parked over there
Kim pat dep bam ja sngi,They haven't finished their lunch yet
U Tom u dang pynleit jingmut,Tom is still paying attention
U Sami um ju burom ianga,Sami was never respectful to me
Kine ki patlun kim biang ianga,These pants don't fit me
Kine ki patlun kim ñiam ianga,These pants don't fit me
Kane ka patlun kam biang ianga,These pants don't fit me
Kane ka patlun kam ñiam ianga,These pants don't fit me
